0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:43:03 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:43:03 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:43:03 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:43:03 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:15:43:08 +0800] "POST /10RR/userLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /10RR/login.html HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:02:40 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /10RR/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /10RR/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:45 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:52 +0800] "GET /10RR/register.html HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:52 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:52 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:52 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:53 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:06:53 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:07:29 +0800] "GET /10RR/register.html HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:07:29 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:07:29 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:07:29 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:07:29 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:09:07 +0800] "GET /10RR/register.html HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:09:07 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:09:07 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:09:07 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:09:07 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:10:05 +0800] "GET /10RR/register.html HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:10:05 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:10:05 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:10:05 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:10:05 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:11:40 +0800] "GET /10RR/register.html HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:11:40 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:11:40 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:11:40 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:11:40 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:12:29 +0800] "GET /10RR/register.html HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:12:29 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:12:29 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:12:29 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:12:29 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:14:20 +0800] "GET /10RR/register.html HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:14:20 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:14:20 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:14:20 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:14:20 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:12 +0800] "GET /10RR/register.html HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:12 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:12 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:12 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:12 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:47 +0800] "GET /10RR/register.html HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:47 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:47 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:47 +0800] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:15:47 +0800] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:20:08 +0800] "GET /10RR/register.html HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:20:09 +0800] "GET /assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [14/Apr/2018:18:20:09 +0800] "GET /10RR/signin.css HTTP/1.1" 404 981
